time_debut,time_fin,n_stations,stations,n_picks,probabilite_max
2014-02-24T14:00:46.969900,2014-02-24T14:00:56.609900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:01:26.539900,2014-02-24T14:01:30.029900,4,"BAM,GBM,IA2,MLM",4,1.0
2014-02-24T14:02:02.959900,2014-02-24T14:02:07.309900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T14:02:14.379900,2014-02-24T14:02:23.630000,4,"BAM,CPM,MLM,SAM",5,1.0
2014-02-24T14:02:44.499900,2014-02-24T14:02:45.989900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T14:03:08.929900,2014-02-24T14:03:18.090000,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T14:03:21.969900,2014-02-24T14:03:26.259900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T14:04:05.329900,2014-02-24T14:04:11.639900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T14:04:42.239900,2014-02-24T14:04:49.909900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:04:57.769900,2014-02-24T14:05:06.650000,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T14:05:24.779900,2014-02-24T14:05:31.519900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T14:05:59.239900,2014-02-24T14:06:07.729900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:06:38.879900,2014-02-24T14:06:46.639900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:06:53.389900,2014-02-24T14:06:55.450000,4,"BAM,CPM,IA2,MLM",4,1.0
2014-02-24T14:07:17.779900,2014-02-24T14:07:25.509900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:07:40.959900,2014-02-24T14:07:50.549900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T14:08:03.889900,2014-02-24T14:08:12.259900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:08:43.189900,2014-02-24T14:08:46.189900,5,"BAM,CPM,GBM,IA2,MLM",5,1.0
2014-02-24T14:09:22.459900,2014-02-24T14:09:30.069900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:09:53.329900,2014-02-24T14:10:02.629900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:10:32.269900,2014-02-24T14:10:40.119900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T14:11:47.039900,2014-02-24T14:11:54.290000,4,"BAM,CPM,IA2,MLM",4,1.0
2014-02-24T14:11:57.889900,2014-02-24T14:12:05.699900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:12:13.339900,2014-02-24T14:12:21.470000,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T14:12:36.949900,2014-02-24T14:12:44.519900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:13:15.659900,2014-02-24T14:13:24.359900,5,"BAM,CPM,GBM,MLM,SAM",6,1.0
2014-02-24T14:13:50.010000,2014-02-24T14:13:55.979900,4,"BAM,CPM,LAM,MLM",4,1.0
2014-02-24T14:14:00.779900,2014-02-24T14:14:10.190000,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T14:14:40.429900,2014-02-24T14:14:49.159900,4,"BAM,CPM,GBM,MLM",5,1.0
