time_debut,time_fin,n_stations,stations,n_picks,probabilite_max
2014-02-24T13:46:09.869900,2014-02-24T13:46:17.679900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:46:31.279900,2014-02-24T13:46:35.129900,4,"BAM,CPM,MLM,SAM",4,1.0
2014-02-24T13:46:53.419900,2014-02-24T13:47:00.180000,6,"BAM,CPM,GBM,IA2,MLM,SAM",6,1.0
2014-02-24T13:47:12.079900,2014-02-24T13:47:19.919900,4,"BAM,CPM,IA2,MLM",5,0.9999997615814209
2014-02-24T13:47:33.459900,2014-02-24T13:47:43.249900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:48:45.320000,2014-02-24T13:48:53.299900,6,"BAM,CPM,GBM,IA2,MLM,SAM",7,1.0
2014-02-24T13:49:00.989900,2014-02-24T13:49:08.829900,4,"BAM,CPM,LAM,MLM",5,0.999999463558197
2014-02-24T13:49:24.329900,2014-02-24T13:49:32.289900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:50:06.439900,2014-02-24T13:50:13.639900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:50:37.580000,2014-02-24T13:50:45.700000,5,"BAM,CPM,IA2,MLM,SAM",5,1.0
2014-02-24T13:50:49.899900,2014-02-24T13:50:57.739900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:51:21.009900,2014-02-24T13:51:23.279900,4,"BAM,CPM,IA2,MLM",4,0.9999999403953552
2014-02-24T13:51:28.849900,2014-02-24T13:51:37.169900,5,"BAM,CPM,GBM,LAM,MLM",6,1.0
2014-02-24T13:52:05.079900,2014-02-24T13:52:10.999900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:52:26.190000,2014-02-24T13:52:35.729900,5,"BAM,CPM,IA2,LAM,MLM",5,0.9999998211860657
2014-02-24T13:52:46.649900,2014-02-24T13:52:54.309900,6,"BAM,CPM,GBM,LAM,MLM,SAM",7,1.0
2014-02-24T13:53:25.409900,2014-02-24T13:53:33.309900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:54:10.229900,2014-02-24T13:54:19.879900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T13:54:49.839900,2014-02-24T13:54:52.469900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:55:28.840000,2014-02-24T13:55:37.809900,6,"BAM,CPM,GBM,IA2,LAM,MLM",7,1.0
