G.FDF.00.BHN | 2014-05-23T00:00:00.000001Z - 2014-05-23T23:59:59.950001Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-05-24T00:00:00.000000Z - 2014-05-24T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-05-25T00:00:00.000000Z - 2014-05-25T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-05-26T00:00:00.000000Z - 2014-05-26T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-05-27T00:00:00.000000Z - 2014-05-27T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-05-28T00:00:00.000000Z - 2014-05-28T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-05-29T00:00:00.000000Z - 2014-05-29T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-05-30T00:00:00.000000Z - 2014-05-30T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-05-31T00:00:00.000000Z - 2014-05-31T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHZ | 2014-02-20T00:00:00.000000Z - 2014-02-20T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHZ | 2014-02-21T00:00:00.000001Z - 2014-02-21T23:59:59.950001Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHZ | 2014-02-22T00:00:00.000000Z - 2014-02-22T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHZ | 2014-02-23T00:00:00.000000Z - 2014-02-23T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHZ | 2014-02-24T00:00:00.000000Z - 2014-02-24T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHZ | 2014-02-25T00:00:00.000000Z - 2014-02-25T23:59:59.950000Z | 20.0 Hz, 1728000 samples
